id,title,link,source_type,journal,authors,doi,publishing_date,abstract
14,Predicting Defects in Disk Drive Manufacturing: A Case Study in High-Dimensional Classification,https://www.researchgate.net/publication/2511046_Predicting_Defects_in_Disk_Drive_Manufacturing_A_Case_Study_in_High-Dimensional_Classification,  Conference , Proceedings of the Twenty-Seventh Southeastern Symposium on System Theory," C. Apte, S. Weiss , G. Grout", 10.1109/CAIA.1993.366608, 01/03/1999 ," The authors consider the application of several computationally intensive classification techniques to disk drive manufacturing quality control. This application is characterized by very high dimensions, with hundreds of features, and tens of thousands of cases. The efforts were directed toward a search for knowledge that would assist the engineers in providing another increment of performance to the already highly performing knowledge-based system. Two principal issues are addressed. The issues are whether a very expensive testing process can be eliminated while still maintaining high quality throughput in disk drive manufacturing, and whether the manufacturing process can be made more efficient by identifying bad disk drives prior to the expensive testing. Preliminary results indicate that although the expensive testing cannot be completely eliminated, a fraction of the disk drives can be determined to be faulty prior to further testing. This detection may improve the throughput of the manufacturing line."
15,How to improve inventory cost management,https://flashglobal.com/blog/how-to-improve-inventory-cost-management/,,,,,,
16,Real-Time Production Performance Monitoring,https://www.zerynth.com/use-cases/real-time-production-performance-monitoring/,,,,,,
17,Smart Warehousing,https://www.zerynth.com/use-cases/smart-warehousing/,,,,,,
18,Blockchain-enabled IoT shipment tracking system,https://www.zerynth.com/use-cases/blockchain-enabled-iot-shipment-tracking-system/,,,,,,
19,Vehicle Tracking and Fleet Management,https://www.zerynth.com/use-cases/vehicle-tracking-and-fleet-management/,,,,,,
20,The tracking of goods and production assets through technology solutions based on IoT provides great results in cost savings and lower losses for companies.,https://www.libelium.com/iot-solutions/smart-tracking/,,,,,,
21,IoT tools make it possible to know customers better than ever before. IoT provides information to know what buyers like and tailor offerings accordingly,https://www.libelium.com/iot-solutions/smart-retail/,,,,,,
22,IOT SOLUTIONS Industry 4.0,https://www.libelium.com/iot-solutions/smart-industry/,,,,,,
23,Meet the most flexible and customizable asset tracking system on the market,https://www.particle.io/particle-tracking-system/,,,,,,
24,"Delight customers with real-time, automatic order fulfillment alerts and notifications",https://www.particle.io/iot-order-fulfillment/,,,,,,
25,"Powerful, configurable, and extensible IoT-enabled asset tracking",https://www.particle.io/solutions/iot-asset-tracking/,,,,,,
26,article connects your machines to help prevent maintenance issues before they happen,https://www.particle.io/solutions/iot-predictive-maintenance/,,,,,,
27,"A Web-based Product Service System for aerospace maintenance, repair and overhaul services",https://www.researchgate.net/publication/257001844_A_Web-based_Product_Service_System_for_aerospace_maintenance_repair_and_overhaul_services, Journal, Computers in Industry ," Zhu Haihua, James Gao , Dongbo Li, Dunbing Tang", 10.1016/j.compind.2012.02.016 , 05/2012 ," Manufacturing enterprises around the world have made significant efforts to provide high value added services in addition to their traditional product development and manufacturing business. A product service system (PSS) is presented in this paper which aims to better integrate product development with maintenance and service operations. This project focuses on the maintenance, repair and overhaul (MRO) services in the aerospace industry. A MRO service model is proposed for the development of the proposed PSS. An ontology-based knowledge representation model is developed for the reuse of knowledge unambiguously in MRO services. An initial attempt has been made to demonstrate the role of PSS in the aerospace industry as a decision support tool for MRO services. Product lifecycle management (PLM) environment and Web-based technologies have been developed to enable the methodology to provide services and support in the aerospace manufacturing and flight operations business."
28,Reducing Complexity with Simplicity - Usability Methods for Industry 4.0,https://www.researchgate.net/publication/280722890_Reducing_Complexity_with_Simplicity_-_Usability_Methods_for_Industry_40, Conference , IEA 2015," Martina Ziefle, Philipp Brauner", 10.13140/RG.2.1.4253.6809, 08/2015," At RWTH Aachen University the research cluster "" Production Technology for High-Wage Countries "" engages in advancing the polylemma of production. In many cases engineers and physicists develop simulation tools, machine interfaces, and data exploration tools but lack essential training in Human-Computer Interaction. Without proper training the interaction of visual, cognitive and task complexity can lead to solutions that are valuable only to the developers themselves, but are not usable without extensive training. We show the most critical ergonomic factors for developing software in a scientific engineering setting that focuses on complex problems. We present an overview of usability methods as well as complexity reduction methods and their applicability in engineering software design. We present an exemplary study for the case of supply chain management, where the approaches were successfully integrated into a serious game not only serving as an investigatory tool but also as a training utility for supply chain managers. Practitioner Summary: This overview aims to be used as an entry point for engineers interested in usability and its applicability from a simulations and visualizations point of view. Factors that create complexity and how they can be reduced are presented. Usability methods are evaluated in regard to their applicability."
29,Edge AI - Artificial Intelligence at the Edge,https://www.st.com/content/st_com/en/campaigns/artificial-intelligence-at-the-edge.html#edge-ai-counting-sensor,,,,,,
30,Predictive Analytics Using Rattle and Qlik Sense,https://www.oreilly.com/library/view/predictive-analytics-using/9781784395803/,,,,,,
31,ENERGY SOURCES OPTIMIZATION,https://www.reach-incubator.eu/project/energy-sources-optimization/,,,,,,
32,IMPROVING STORES’ EFFICIENCY USING CLIENTS SHOPPING TIMES,https://www.reach-incubator.eu/project/improving-stores-efficiency-using-clients-shopping-times/,,,,,,
33,PREDICTIVE MAINTENANCE AND PRODUCTION OPTIMISATION IN INDUSTRY,https://www.reach-incubator.eu/project/predictive-maintenance-and-production-optimisation-in-industry/,,,,,,
34,DATA DRIVEN TECHNOLOGY FOR EFFICIENCY IN ENERGY INTENSIVE INDUSTRIES,https://www.reach-incubator.eu/project/data-driven-technology-for-efficiency-in-energy-intensive-industries/,,,,,,
35,IT plus OT convergency for your automation solution,https://new.siemens.com/global/en/products/automation/industry-software/automation-software/scada/simatic-wincc-oa/simatic-wincc-oa-iot-suite.html,,,,,,
36,Leveraging IoT Framework to Enhance Smart Mobility: The U-Bike IPBeja Project,https://www.igi-global.com/chapter/leveraging-iot-framework-to-enhance-smart-mobility/249114,,,,,,
37,IoT in Retail,https://edincubator.eu/2019/03/13/iot-in-retail/,,,,,,
38,Remote Measurements Control,https://edincubator.eu/2019/03/13/remote-measurements-control/,,,,,,
39,Process Discovery: Capturing the Invisible,https://www.researchgate.net/publication/224101364_Process_Discovery_Capturing_the_Invisible, Journal , IEEE Computational Intelligence Magazine , Wil Van der Aalst , 10.1109/MCI.2009.935307, 03/2010," Processes are everywhere. Organizations have business processes to manufacture products, provide services, purchase goods, handle applications, etc. Also in our daily lives we are involved in a variety of processes, for example when we use our car or when we book a trip via the Internet. Although such operational processes are omnipresent, they are at the same time intangible. Unlike a product or a piece of data, processes are less concrete because of their dynamic nature. However, more and more information about these processes is captured in the form of event logs. Contemporary systems ranging from copiers and medical devices to enterprise information systems and cloud infrastructures record events. These events can be used to make processes visible. Using process mining techniques it is possible to discover processes. This provides the insights necessary to manage, control, and improve processes. Process mining has been successfully applied in a variety of domains ranging from healthcare and e-business to high-tech systems and auditing. Despite these successes, there are still many challenges as process discovery shows that the real processes are more ""spaghetti-like"" than people like to think. It is still very difficult to capture the complex reality in a suitable model. Given the nature of these challenges, techniques originating from Computational Intelligence may assist in the discovery of complex processes."
40,INTELLIGENT MATERIAL FLOW FOR THE INDUSTRY,https://www.ssi-schaefer.com/en-de/best-practices-trends/intelligent-material-flow-for-the-industry-525156,,,,,,
41,ntralogistics and industry 4.0: designing a novel shuttle with picking system,https://www.sciencedirect.com/science/article/pii/S2351978920300792, Journal , Procedia Manufacturing," J.Fernandes , F.J.G.Silva , R.D.S.G.Campilho , G.F.L.Pinto , A.Baptista ", j.promfg.2020.01.078 , 2019 ," Intralogistics is increasingly a matter of research and development as a form of optimization, automation, integration and management of the flow of materials and information that circulate within a business unit. With a strong connection to material handling equipment and automation solutions, intralogistics has proved to be one of the main factors responsible for something that is already happening: a fourth industrial revolution where it is possible to convert warehouses and manufacturing units into smart environments where the entire process can be controlled and supervised through a single system. It became necessary to develop more innovative and efficient solutions to the constant diversity of challenges proposed by the market. In this sense, it was proposed to develop something innovative within the area of Automated Storage and Retrieval Systems (AS/RS), a technology increasingly sought after by today’s manufacturing plants. As such, the goal was to improve the most emergent AS/RS in recent years: the Pallet/Box Shuttle AS/RS. In order to achieve the proposed objective, it was necessary to analyze all the existing solutions in the market and, mainly, to find the main systems to be improved and the direction to follow in order to create a novel solution based on the existing advanced solutions. Moreover, regarding the recent needs required by the smart factories and Industry 4.0, it was intended that the new system would be able to make an optimized selection of products, forming sets or sub-sets of different products picking them from different places of the rack, a situation that is quite frequent in companies that produce and assemble equipment. The solution obtained shows that it is possible to increase the automation of the operations in the storage systems and improve the responsiveness of the system, taking this solution to a new level. Different products can be picked-up and put in a same box, providing a set of products/components able to be used in a production line or to be provided to a customer."
42,Condition monitoring in Industry 4.0 production systems - the idea of computational intelligence methods application,https://www.sciencedirect.com/science/article/pii/S221282711930126X, Journal , 12th CIRP Conference on Intelligent Computation in Manufacturing Engineering ," Tomasz Żabińskia ,Tomasz Mączkab , Jacek Kluskac , Michał Maderad Jarosław Sępe", j.procir.2019.02.012 , 18/07/2018 ," In this paper the structure of industrial platform for condition monitoring is described as well as the idea of computational intelligence methods application. The platform utilizes tool set for rapid prototyping of intelligent condition monitoring systems and advanced computational intelligence methods for novelty detection as well as multiclass classification. As an example, CNC milling tool head mechanical imbalance prediction system developed with the use of deep learning is described."
43,FMEA ANALYSIS AS SUPPORT TO INDUSTRY 4.0 IN THE TOBACCO INDUSTRY,https://www.researchgate.net/publication/342183002_FMEA_ANALYSIS_AS_SUPPORT_TO_INDUSTRY_40_IN_THE_TOBACCO_INDUSTRY, Conference , ICAS 2018 in ANNALS of Faculty Engineering Hunedoara – International Journal of Engineering ," Tihomir Latinovic , Cristian Barz , Pop VADEAN Adina , Pop Paul Petrica ", , 08/2020 ," FMEA calculates the risk of using the system and possible errors, as well as their effects on the system itself. Because FMEA has an object-oriented approach that’s very easy monitoring, development, use and modifies the software. Approach to solving such a complex system such as the production of cigarettes, here and abroad, have been analyzed in this way. A new approach is the analysis model and application of new tools for the analysis and synthesis model is an original scientific contribution. Because we have quality in all areas of production then we need to constant monitoring of the same. No human auditors, medals quality standards are not sufficient to at all times maintain the required level of product quality. We require adaptive expert systems for predictive control of industrial processes to be able to keep the process under constant control. This may not be the production of cigarettes, but the production of drinking water or other products. Even if the product is awarded the highest score, just one mistake can cause a bad product or a product which endangers human health. "
44,Smart manufacturing based on cyber-physical systems and beyond,https://www.researchgate.net/publication/322112340_Smart_manufacturing_based_on_cyber-physical_systems_and_beyond, Journal , Journal of Intelligent Manufacturing  ," Xifan Yao , Jiajun Zhou , Yingzi Lin , Yun Li ", 10.1007/s10845-017-1384-5 , 12/2019 ," Cyber-physical systems (CPS) have gained an increasing attention recently for their immense potential towards the next generation smart systems that integrate cyber technology into the physical processes. However, CPS did not initiate either smart factories or smart manufacturing, and vice versa. Historically, the smart factory was initially studied with the introduction of the Internet of Things (IoT) in manufacturing, and later became a key part of Industry 4.0. Also emerging are other related models such as cloud manufacturing, social manufacturing and proactive manufacturing with the introduction of cloud computing (broadly, the Internet of Services, IoS), social networking (broadly, the Internet of People, IoP) and big data (broadly, the Internet of Content and Knowledge, IoCK), respectively. At present, there is a lack of a systemic and comprehensive study on the linkages and relations between these terms. Therefore, this study first presents a comprehensive survey and analysis of the CPS treated as a combination of the IoT and the IoS. Then, the paper addresses CPS-based smart manufacturing as an eight tuple of CPS,IoT, IoS and IoCK as elements. Further, the paper extends the eight-tuple CPS-based manufacturing to social-CPS (SCPS)-based manufacturing, termed wisdom manufacturing, which forms a nine tuple with the addition of one more element, the IoP and which is based on the SCPS instead of CPS. Both architectures and characteristics for smart and wisdom manufacturing are addressed. As such, these terms’ linkages are established and relations are clarified with a special discussion. This study thus contributes as a theoretical basis and as a comprehensive framework for emerging manufacturing integration."
45,Process Mining,https://www.celonis.com/process-mining/what-is-process-mining,,,,,,
46,A Multi-layered Framework for Internet of Everything (IoE) via Wireless Communication and Distributed Computing in Industry 4.0,https://www.eurekaselect.com/node/172949/article/a-multi-layered-framework-for-internet-of-everything-ioe-via-wireless-communication-and-distributed-computing-in-industry-40,,,,,,
47,Visual computing technologies to support the Operator 4.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058577170&doi=10.1016%2fj.cie.2018.11.060&partnerID=40&md5=083549f3e03c7d89c68beec7429f45c6,Article,Computers and Industrial Engineering,"Segura Á., Diez H.V., Barandiaran I., Arbelaiz A., Álvarez H., Simões B., Posada J., García-Alonso A., Ugarte R., ",10.1016/j.cie.2018.11.060,b'\xe4\x07\x00\x00\x00\x00\x00\x00',"Nowadays there is a clear trend for improving productivity and efficiency in the Industrial sector by integrating new advanced ICT technologies that are re-shaping the industrial production paradigms, as in the Industry 4.0 initiative. This new trend does not only affect production lines and machines but also operators. Markets demanding efficiency and flexibility would not be possible excluding the human-factor. Putting the operators in the centre of this new paradigm is mandatory for its success. The operators need to be empowered by giving them new tools and solutions for improving their decision-making processes. In this paper we show how Visual Computing technologies can play a key role in this empowering process, being therefore essential in the realization of the Operator 4.0 vision. © 2018 Elsevier Ltd"
48,The use of big data for sustainable development in motor production line issues,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088020889&doi=10.3390%2fsu12135323&partnerID=40&md5=e0b1882266d8f263d561a2e40f0e359d,Article,Sustainability (Switzerland),"Lin Y.-C., Yeh C.-C., Chen W.-H., Liu W.-C., Wang J.-J., ",10.3390/su12135323,b'\xe4\x07\x00\x00\x00\x00\x00\x00',"This study explores big data gathered from motor production lines to gain a better understanding of production line issues. Motor products from Solen Electric Company's motor production lines were used to predict failure points based on big data analytics, where 3606 datapoints from the company's testing equipment were statistically analyzed. The current study focused on secondary data and expert interview results to further define the relevant statistical dimensions. Only 14 of the original 88 detection parameters were required for monitoring the production line. The relationships between these parameters and the relevant motor components were established to indicate how an abnormal reading may be interpreted to quickly resolve an issue. Thus, a theoretical model for the monitoring of the motor production line was proposed. Further implications and practical suggestions are also offered to improve the production lines. This study explores big data analysis and smart manufacturing and demonstrates the promise of these technologies in improving production line efficiency and reducing waste to promote sustainable production goals. Big data thus constitute the core technology for advancing production lines into Industry 4.0 and promoting industry sustainability. © 2020 by the authors."
49,Practical application of the industry 4.0 concept in a steel company,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088138946&doi=10.3390%2fsu12145776&partnerID=40&md5=963cc8133f225e65975e5b9bbd944111,Article,Sustainability (Switzerland),"Miśkiewicz R., Wolniak R., ",10.3390/su12145776,b'\xe4\x07\x00\x00\x00\x00\x00\x00',"The primary aim of this paper was to present and analyze practical solutions of Industry 4.0 as applied in the Re Alloys company. The research question was whether the implementation of the digitization process based on Industry 4.0 resulted in changes to the organizational structure of the company and whether this brought about an improvement in the energy and material efficiency of the company. The research method used in the paper was the case study method. In view of the project's results, we concluded that implementation of the new solution based on digitalization caused increased energy and material efficiency, often forced by external factors stemming from the operation of competitive markets. Technological changes also require the application of IT technologies and communication systems in managing production. Access to this information is also a chance to gain a competitive advantage. © 2020 by the authors."
50,"Multifunctional technology of flexible manufacturing on a mechatronics line with IRM and CAS, ready for industry 4.0",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106664483&doi=10.3390%2fpr9050864&partnerID=40&md5=364523b091ac80c7fd5e9132900c1a40,Article,Processes,"Filipescu A., Ionescu D., Filipescu A., Mincă E., Simion G., ",10.3390/pr9050864,b'\xe5\x07\x00\x00\x00\x00\x00\x00',"A communication and control architecture of a multifunctional technology for flexible manufacturing on an assembly, disassembly, and repair mechatronics line (A/D/RML), assisted by a complex autonomous system (CAS), is presented in the paper. A/D/RML consists of a six-work station (WS) mechatronics line (ML) connected to a flexible cell (FC) equipped with a six-degree of freedom (DOF) industrial robotic manipulator (IRM). The CAS has in its structure two driving wheels and one free wheel (2 DW/1 FW)-wheeled mobile robot (WMR) equipped with a 7-DOF robotic manipulator (RM). On the end effector of the RM, a mobile visual servoing system (eye-in-hand VSS) is mounted. The multifunctionality is provided by the three actions, assembly, disassembly, and repair, while the flexibility is due to the assembly of different products. After disassembly or repair, CAS picks up the disassembled components and transports them to the appropriate storage depots for reuse. Technology operates synchronously with signals from sensors and eye-in-hand VSS. Disassembling or repairing starts after assembling and the final assembled product fails the quality test. Due to the diversity of communication and control equipment such as PLCs, robots, sensors or actuators, the presented technology, although it works on a laboratory structure, has applications in the real world and meets the specific requirements of Industry 4.0. © 2021 by the authors. Licensee MDPI, Basel, Switzerland."
51,Motion Analysis System (MAS) for production and ergonomics assessment in the manufacturing processes,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056278096&doi=10.1016%2fj.cie.2018.10.046&partnerID=40&md5=d68b7082009f5d1e8716b39a1ad605d1,Article,Computers and Industrial Engineering,"Bortolini M., Faccio M., Gamberi M., Pilati F., ",10.1016/j.cie.2018.10.046,b'\xe4\x07\x00\x00\x00\x00\x00\x00',"Nowadays the Smart Factories operating within the Industry 4.0 revolution, require more and more reliable, fast and automatic tools for production analysis and improvement. Manufacturing companies, in which the human labour has a crucial role, need instruments able to manage complex production systems in terms of resource utilization, product mix, component allocation and material handling optimization. In this context, this work presents an original hardware/software architecture, Motion Analysis System (MAS), aimed at the human body digitalization and analysis during the execution of manufacturing/assembly tasks within the common industrial workstation. MAS is based on the integration of the Motion Capture (MOCAP) technology with an ad hoc software developed for productive and ergonomic analysis of the operator during his work. MAS hardware integrates a network of depth cameras initially developed for gaming (Microsoft Kinect v2™, conceived for markerless MOCAP) and now used for industrial analysis, while an original software infrastructure is programmed to automatically and quantitatively provide productive information (human task analysis in terms of time execution and used space within the workplace, movements of hands and locations visited by the operator) and ergonomic information (full body analysis implementing all the internationally adopted indexes OWAS, REBA, NIOSH and EAWS). This double perspective makes MAS a unique and valuable tool for industrial managers oriented to the workplace analysis and design (in terms of productivity) without neglecting the operator health. This proposed contribution ends with a real industrial application analysing a water pump assembly station: the system setup is discussed and the key results obtained adopting MAS are presented and analysed. © 2018"
52,Simplified swarm optimization for optimal deployment of fog computing system of industry 4.0 smart factory,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078084103&doi=10.1088%2f1742-6596%2f1411%2f1%2f012005&partnerID=40&md5=596cd67b850c4f96a6d18ecada28c20d,Conference Paper,Journal of Physics: Conference Series,"Yeh W.-C., Lai C.-M., Tsai J.-Y., ",10.1088/1742-6596/1411/1/012005,b'\xe3\x07\x00\x00\x00\x00\x00\x00',"Fog computing is an emerging technology that can reduce the load on cloud system and decentralize computing resource, thus increasing response speed and reducing time delay. More and More environments in order to achieve intelligence, collect massive amounts of data though IOT devices. Considering deploying fog computing system in these environments can make system faster and more robust. This work creates a simulated factory consisting of a cloud center, gateways, fog devices, edge devices, and different types of sensors. We build an integer programming model and apply metaheuristic method for determining the layout of above devices except of cloud center and all sensors so that can find the cost minimization deployment of the smart factory. © Published under licence by IOP Publishing Ltd."
53,Retrofitting a process plant in an industry 4.0 perspective for improving safety and maintenance performance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100139759&doi=10.3390%2fsu13020646&partnerID=40&md5=1aacf4b8add13298c58ed44932c6c777,Article,Sustainability (Switzerland),"Di Carlo F., Mazzuto G., Bevilacqua M., Ciarapica F.E., ",10.3390/su13020646,b'\xe5\x07\x00\x00\x00\x00\x00\x00',"The transformation from traditional industry to Industry 4.0 can bring many benefits in various spheres, from efficiency to safety. However, this transition involves adopting technologically advanced machinery with a high level of digitization and communication. The costs and time to replace obsolete machines could be unsustainable for many companies while retrofitting the old machinery. To make them ready to the Industry 4.0 context, they may represent an alternative to the replacement. Even if there are many studies related to retrofitting applied to machinery, there are very few studies related to the literature process industry sector. In this work, we propose a case study of a two-phase mixing plant that needed to be enhanced in the safety and maintainability conditions with reasonable times and costs. In this regard, the Digital Twin techniques and Deep Learning algorithms will be tested to predict and detect future faults, not only already visible and existing malfunctions. This approach strength is that, with limited investments and reasonable times, it allows the transformation of an old plant into a smart plant capable of communicating quickly with operators to increase its safety and maintainability. © 2021 by the authors. Licensee MDPI, Basel, Switzerland."
54,A Digital Twin-based scheduling framework including Equipment Health Index and Genetic Algorithms,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075856173&doi=10.1016%2fj.ifacol.2019.10.024&partnerID=40&md5=bf1477d18e89fccf8caa69e4e4e21075,Conference Paper,IFAC-PapersOnLine,"Negri E., Ardakani H.D., Cattaneo L., Singh J., MacChi M., Lee J., ",10.1016/j.ifacol.2019.10.024,b'\xe3\x07\x00\x00\x00\x00\x00\x00',"The advent of Industry 4.0 technologies and in particular the Cyber-Physical Systems, Digital Twins and pervasive connected sensors is transforming many industries, among which smart scheduling is one of the most relevant. This paper contributes to the research on scheduling by proposing a framework to include equipment health predictions into the scheduling activity and embedding a field-synchronized Equipment Health Indicator module into the DT simulation. The metaheuristic approach to scheduling optimization is performed by a genetic algorithm, that is connected with the DT simulator and provides various generations of scheduling alternatives that are assessed through the simulator itself. The paper also proposes a practical Proof-of-Concept of the innovative framework, by developing an architecture to identify how the various framework modules are implemented and by applying the framework to a real application case, set in a laboratory assembly line environment. © 2019, IFAC (International Federation of Automatic Control) Hosting by Elsevier Ltd. All rights reserved."
55,Analysing machine learning techniques for predicting the hole-filling in pin-in-paste technology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069499686&doi=10.1016%2fj.cie.2019.07.033&partnerID=40&md5=1d595a93cc964bdc4e65406b9922c468,Article,Computers and Industrial Engineering,"Martinek P., Krammer O., ",10.1016/j.cie.2019.07.033,b'\xe3\x07\x00\x00\x00\x00\x00\x00',"Pin-in-paste technology is an advanced and constantly developing assembly method, where both the surface mounted and through-hole components are joined commonly with the same reflow soldering step. In the paper, detailed evaluation of machine learning based prediction methods was performed, including artificial neural networks (ANN), adaptive neuro fuzzy inference systems (AFNIS) and gradient boosted decision trees to optimize the process parameters of pin-in-paste. The methods were presented for predicting the hole-filling of solder paste during stencil printing and to enable an evaluation of the aforementioned methods for the specific problem. Experiments were performed to obtain the required input data (hole-filling against the process parameters) for the training of the prediction tools. A testboard with plated through-holes of different diameters (0.8, 1, 1.1, 1.4 mm) was applied. Type 4 lead-free solder paste (particle size 20–38 µm) was deposited with stencil printing into the through-holes with different printing speeds (between 20 mm/s and 70 mm/s). The extent of hole-filling was investigated with X-ray analysis. The optimal structure for the prediction method was determined for every approach by varying the size and configuration iteration-wise. Optimal number of hidden neurons was 34 for the full data set and 18 for the smaller – incomplete- test cases. The optimal structure for the ANFIS consists of 8 and 6 membership functions respectively. Triangular and Gaussian membership function types and 7 different training methods were assessed. The ANN, which was trained with Bayesien Regularization (prediction error <15%) was found to be the recommended one for the PIP technology. A sensitivity analysis was carried out serving as a basis for managerial implications, which were also described in the paper. The obtained results aid in improving the quality and reliability of products assembled with pin-in-paste technology, also enable the more precise control in the wake of Industry 4.0 recommendations. © 2019 Elsevier Ltd"
56,Design of an FPGA-based intelligent gateway for industrial IoT,https://www.researchgate.net/publication/332912266_Design_of_an_FPGA-based_Intelligent_Gateway_for_Industrial_IoT,Article,International Journal of Advanced Trends in Computer Science and Engineering,"Ercan T., Al Azzawi A.K., ",10.30534/ijatcse/2019/2181.22019,b'\xe3\x07\x00\x00\x00\x00\x00\x00',"The use of information technologies in the implementation of industry 4.0 applications has naturally attracted the attention of many entrepreneurs and the business community. Industry 4.0 applications enabled cost reduction and efficiency in Industrial production systems. However, there are difficulties in the process of reliable data collection, integration and analysis of production-related data. The authors propose FPGA-based hardware and ANFIS software-driven intelligent algorithms to use temperature and humidity sensor test data for these processes. This approach achieves a significant performance and resource utilization rate in Industrial IoT systems and shows 55% decrease in the amount of HW resources in FPGA. © 2019, World Academy of Research in Science and Engineering. All rights reserved."
